DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
RW201400000253,253,278311.875,313892.6875,885.8942125,999.1514563,10392.49727,0.073327988,-9999.0,3878.5,3897.166667,43.59178082,13.0,0.318950619,0.599541342,0.053206762000000005,0.052097230999999994,0.170428722,1403.314208,11369.25177,8124.0466719999995,13664.45209,1617.833333,1402.916667,174.3863014
RW201400000254,254,129629.8125,146202.375,412.6245086,465.37661349999996,5675.378747,0.004365088,-9999.0,3625.7,3470.9,32.96457766,11.0,0.46795356299999996,0.800216477,0.06430378099999999,0.043329239000000005,0.089328268,1576.942779,30993.969719999997,17456.73416,18508.61924,1040.0,837.1111111,116.4959128
RW201400000255,255,198945.2813,224565.2188,633.2624985,714.8132923999999,9760.180822,0.0232726,-9999.0,3498.3,3496.1,38.11232877,14.0,-9999.0,-9999.0,-9999.0,-9999.0,0.00852459,1422.0410960000002,7018.552195,3567.4544479999995,4011.0393159999994,1545.444444,1315.888889,205.8191781
RW201400000256,256,70141.79688,79109.09375,223.2682738,251.81206630000003,5728.884615,0.012867932,-9999.0,3118.5,3012.416667,26.526027399999997,10.0,0.506077953,0.85889649,0.067325413,0.042196777000000005,0.0017571820000000001,1568.239011,19541.20901,13442.44644,4100.612329,1033.5,816.7,190.03835619999998
RW201400000257,257,20945.01953,23622.74023,66.67006783,75.19351754,5533.616215999999,0.001217322,-9999.0,3630.9,3480.1,27.10781671,11.0,0.39553525,0.700924905,0.11732618,0.042456237,0.0,1639.975676,27897.25134,13698.490630000002,18882.26686,977.7,809.3,482.2594595
RW201400000258,258,196985.1719,222414.9063,627.0232765,707.9686351,8884.15427,0.021328561,1.0,4051.5555560000003,3969.333333,29.00826446,13.0,0.440497315,0.780326537,0.053972014000000006,0.064107418,0.017411855,1548.112948,7745.851409000001,5262.308303,18218.08316,1342.1,1461.0,392.60330580000004
RW201400000259,259,19146.75195,21594.57031,60.94600434,68.73765218,5686.005405,0.004689764,-9999.0,2985.6,2931.9,29.24864865,11.0,0.467318385,0.80314542,0.075152695,0.03990595,0.002173409,1601.040541,14950.914219999999,1677.865307,4611.435976,993.3,808.8,210.48108109999998
RW201400000260,260,238918.4688,269463.0625,760.5011061,857.7275676,7510.98645,0.039700242000000004,-9999.0,4069.6,4102.5,38.45799458,11.0,0.370299024,0.663549091,0.04932126,0.035424057,0.09066516599999999,1451.756098,14398.631290000001,41201.87855,26540.96629,1314.555556,1066.222222,145.8373984
RW201400000261,261,134783.1563,152014.5313,429.0281114,483.87728160000006,10960.27807,0.00507156,1.0,3761.0,3799.1,33.13368984,12.0,0.45602528,0.783600092,0.03661181,0.047047079000000006,0.037918334,1336.81016,27736.964780000002,8816.526814,36523.3718,1516.4,1423.3,401.6069519
RW201400000262,262,147327.5313,166162.6563,468.9580972,528.9121621,9729.379781,0.006116156,-9999.0,3661.5,3669.0,34.84699454,13.0,0.424892284,0.7372015479999999,0.043224655,0.048537888,0.02434753,1418.811475,26976.668589999997,15432.36469,11295.38157,1319.2,1231.5,203.4098361
RW201400000263,263,68604.6875,77427.28125,218.37550269999997,246.45869080000003,5783.026882,0.003696108,-9999.0,3465.6,3370.6,30.12365591,10.0,0.526078243,0.868263242,0.095646516,0.058564115,0.00048412300000000004,1549.491935,7321.6483069999995,29371.24231,15161.5269,1039.333333,855.1111110999999,223.2231183
RW201400000264,264,80026.48438,90257.49219,6368.305284,7182.463017,6007.5,0.6726405959999999,-9999.0,3428.0,3397.0,64.14285714,11.0,0.254722844,0.507291905,0.017567232,0.025740204,11.59002265,1625.357143,45362.90378,58600.89709,31552.222489999996,1084.0,872.0,7.571428571
RW201400000265,265,156671.1875,176700.8438,498.69987860000003,562.4562547999999,8577.418033,0.010738018,-9999.0,3651.3,3595.0,39.78688525,12.0,0.40834390600000003,0.7147467590000001,0.048233032,0.057557832,0.022219372999999997,1491.046448,49635.56974,8364.562791,26874.892910000002,1355.8,1172.5,155.54098359999998
RW201400000266,266,150741.625,170013.2188,479.82549500000005,541.1688833,8173.0385670000005,0.00841617,1.0,3620.0,3554.5,33.83471074,12.0,0.45000284700000004,0.773485034,0.050084007,0.053473779000000006,0.080535578,1493.768595,33902.39035,26625.17857,40058.12373,1268.4,1176.5,175.61707990000002
RW201400000267,267,147187.75,166004.9844,468.5131595,528.4102769,7958.254098,0.004014819,-9999.0,3688.4,3608.8,31.24383562,12.0,0.43245110299999995,0.7488935959999999,0.046363447,0.064138659,0.009733565999999999,1518.3415300000001,33977.18429,25648.00915,38065.85222,1210.4,1077.6,126.0382514
RW201400000268,268,398218.6875,449129.0,1267.569451,1429.622009,6446.637602000001,0.053335322000000004,-9999.0,3643.7,3613.6,36.96164384,11.0,0.4063835,0.7219657509999999,0.032740791,0.045411855,0.686070246,1603.449591,35312.49827,49905.44428,33917.39403,1115.3,892.5,75.37057221
RW201400000269,269,170172.0156,191927.6875,541.6743492,610.9248036,7750.270492000001,0.013773845,1.0,3526.3,3470.5,35.60382514,11.0,0.445091388,0.767811866,0.057674225,0.0569866,0.05139819599999999,1519.10929,22674.767330000002,33156.82535,32987.193360000005,1252.5,1129.3,145.5464481
RW201400000270,270,195049.1719,219985.2813,620.8607971,700.2348985,7445.816712000001,0.019544186,1.0,3604.5,3504.7,33.56873315,11.0,0.418332818,0.732782349,0.07045409700000001,0.067921273,0.325823369,1550.407008,12333.42117,41316.89127,31662.92557,1294.888889,1117.333333,260.2749326
RW201400000271,271,7422.956543000001,8371.945313,590.7001131,666.2182399000001,6510.866667,0.019468807,-9999.0,3744.0,3654.0,28.8,12.0,0.42396433899999997,0.749111108,0.040029101,0.055695735,0.013114883,1606.0,24236.41143,47344.318960000004,24818.761309999998,1093.0,890.0,217.8666667
RW201400000272,272,208300.0313,235284.4375,663.0395926,748.9336252,9777.676796,0.027607022999999998,-9999.0,2732.3,2708.5,31.25609756,14.0,0.40304789700000004,0.770254757,0.060254472,0.054362097000000005,0.18601685399999998,1470.09116,6064.490844,11764.861570000001,4261.8247759999995,1389.2,1473.1,185.38397790000002
RW201400000273,273,132822.875,149803.6406,422.78834220000005,476.83979789999995,8238.972973,0.011834852,-9999.0,2317.5,2297.916667,32.33333333,13.0,0.411807976,0.7253379209999999,0.046000004000000004,0.048893997,0.18631547399999998,1531.754054,18819.09795,17698.752969999998,2314.078709,1251.916667,1179.583333,119.23513510000001
RW201400000274,274,173455.125,195630.5313,552.124811,622.7113214999999,6866.866120000001,0.044230343,-9999.0,4228.7272729999995,4156.181818,40.36164384,11.0,0.371907599,0.6654791870000001,0.074450602,0.041898901,0.08793227599999999,1496.270492,16440.76493,47966.83036,26909.37436,1235.3,1034.2,207.1147541
RW201400000275,275,124242.9375,140669.1563,395.4775529,447.7638313,6691.294278,0.002592199,-9999.0,3845.5,3844.4,30.91530055,12.0,0.420959101,0.7417391440000001,0.066946014,0.123723316,0.004185255,1607.326975,4138.630144,54563.794689999995,7757.907579000001,1147.2,976.1,203.86920980000002
RW201400000276,276,11197.61914,12629.17969,891.0782185,1004.9981869999999,5650.466667000001,0.050052404,-9999.0,3607.0,3605.0,42.4,11.0,0.437067873,0.760898236,0.039864678,0.04944656,1.6305063180000001,1618.466667,42062.364669999995,54338.639489999994,15463.14286,1076.0,853.0,53.8
RW201400000277,277,154237.1563,173955.625,490.9521166999999,553.7179518999999,8034.838798000001,0.008830215,1.0,3589.9,3533.0,33.88555858,11.0,0.450139697,0.773939112,0.053203567,0.053972014000000006,0.067373293,1502.590164,30750.58523,27830.624330000002,38224.625869999996,1267.727273,1164.0,151.27595630000002
RW201400000278,278,142224.5,160407.2188,452.71464410000004,510.5920356000001,7415.442308,0.009321108,1.0,3663.5555560000003,3600.4444439999997,35.36438356,11.0,0.43076286,0.751675285,0.06643062400000001,0.079734376,0.056499323,1567.950549,11142.78041,44203.785019999996,24300.93129,1308.8,1133.0,342.217033
RW201400000279,279,212429.5156,239587.5938,676.1841493,762.6309971,9860.091153,0.012801505,-9999.0,3230.333333,3162.75,33.33623188,14.0,0.330002982,0.63262302,0.041227408,0.064383581,0.029830752000000002,1430.844504,15192.000119999999,1799.4477780000002,7484.977514,1370.7,1184.0,168.02680969999997
RW201400000280,280,104479.8438,118891.0313,332.56967189999995,378.4419064,9065.559140000001,0.016069764,-9999.0,1646.222222,1641.444444,22.83478261,13.0,0.414583604,0.788445793,0.057785809,0.052191491,0.046516003,1483.080645,501.8512283,14168.0542,1705.1767100000002,1289.8,1351.1,120.561828
RW201400000281,281,47114.91016,53138.32422,149.9714169,169.14453930000002,12399.45135,0.005405281,1.0,4060.5,4057.4,23.2972973,13.0,0.457809934,0.79159819,0.03941422,0.041654371,0.0,1303.5,20406.138430000003,0.0,17306.36927,1513.2,1608.0,464.91621619999995
RW201400000282,282,194940.1875,220090.1875,620.513889,700.5688253,7883.516393000001,0.009486602,-9999.0,3957.5454549999995,4020.636364,34.997275200000004,13.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0015236479999999998,1431.857923,7832.880348999999,31592.814339999997,18550.82975,1330.666667,1068.416667,269.67486339999994
RW201400000283,283,119228.5313,134471.3281,379.51620230000003,428.0355313999999,5580.450135,0.000993315,-9999.0,3984.2,3861.7,35.32702703,10.0,0.46368294299999996,0.79803429,0.084971264,0.079061225,0.015071288,1579.460916,13600.55279,36769.45194,15772.16454,1140.6,905.0,159.99460919999999
RW201400000284,284,140290.3125,158225.75,446.557934,503.6482047,9619.731706999999,0.004834929,-9999.0,3809.2,3787.9,34.86413043,13.0,0.427733948,0.7403577159999999,0.04457796,0.050894882,0.010574382,1420.897019,30597.081430000002,11791.274809999999,12542.14499,1320.3,1213.3,186.2764228
RW201400000285,285,124434.0,140342.2813,396.0857238,446.72335589999994,11326.991890000001,0.00874885,-9999.0,3873.7,3868.0,36.6972973,14.0,0.385298798,0.69456217,0.038191281,0.050206214000000006,0.000951488,1312.416216,37544.95878,3234.993601,15470.7686,1439.3,1253.6,421.7675676
RW201400000286,286,112280.4063,126634.9063,357.3996335,403.09142610000004,5663.131507,0.0019011979999999998,-9999.0,3894.2,3776.5,33.78961749,10.0,0.484483135,0.828504606,0.078196682,0.06408079,0.010053141,1561.610959,17546.318040000002,34589.09627,23329.27869,1106.5,900.1666667000002,203.1315068
RW201400000287,287,13932.00586,15713.14551,1108.6738,1250.41239,9378.5625,0.02001136,-9999.0,3689.0,3642.0,40.0,14.0,0.32520126,0.625718317,0.036318455,0.060392617999999995,0.007385457,1467.4375,12444.22774,4586.878295,4657.128546,1357.0,1173.0,123.375
RW201400000288,288,240009.3438,270693.375,763.9734691000001,861.6437739,8550.36612,0.0062172090000000005,-9999.0,4026.111111,3971.777778,41.04918033,13.0,0.347238318,0.639452868,0.053094455,0.053429501,0.021387027000000003,1519.448087,24629.868730000002,19658.05323,10382.33883,1431.5,1228.2,154.60928959999998
RW201400000289,289,138516.0313,156224.625,440.9102216,497.27842599999997,6215.5422340000005,0.012711885,-9999.0,3770.25,3632.333333,34.97282609,11.0,0.405971973,0.7138964720000001,0.041564077000000005,0.040182903,0.045799183,1578.60218,45065.65698,57880.21115,34659.54518,1122.7,938.5,77.88010899
RW201400000290,290,116023.9297,130857.0313,369.31563860000006,416.5308674,5752.667575,0.002074825,-9999.0,3641.0,3461.5555560000003,28.61035422,11.0,0.45389919700000003,0.779473612,0.047070114,0.042305199,0.026935665,1581.250681,47115.40507,39498.07702,17686.52792,1047.555556,870.0,103.4495913
RW201400000291,291,194092.5313,220385.8906,617.8157155,701.5100775000001,9550.452055,0.043060735999999995,-9999.0,2585.666667,2532.111111,34.05381166,14.0,0.354998985,0.7822104440000001,0.084373934,0.065206332,0.333507572,1487.446575,4522.642645,15019.919440000001,1467.001415,1387.3,1477.8,144.8054795
RW201400000292,292,137057.7969,154579.9688,436.26851730000004,492.0433228,6842.972973000001,0.0037410670000000003,-9999.0,3649.8,3633.3,27.21351351,12.0,0.42768850700000005,0.753043564,0.043564720999999994,0.068268498,0.0058817109999999995,1591.9729730000001,20013.66329,42633.78884,22479.76456,1106.7,910.5,304.8486486
RW201400000293,293,234470.3125,264446.1875,746.3421848999999,841.7583583999999,7708.333333,0.02511895,-9999.0,3965.6,4010.2,36.45504087,11.0,-9999.0,-9999.0,-9999.0,-9999.0,0.08821880800000001,1441.412568,11760.03188,36952.789919999996,23932.34822,1328.8,1068.1,177.4808743
